股票代码,股票名称,所属行业,总股本(亿股),流通市值(亿元),当前价格,股本匹配分,官方背书分,黄金行业加分,总分,是否符合条件
601069,西部黄金,贵金属,9.11,264.74,29.84,25,0,15,40,是
000506,招金黄金,贵金属,9.29,132.04,14.22,25,0,15,40,是
002237,恒邦股份,贵金属,14.3,173.13,14.52,20,0,15,35,是
300139,晓程科技,贵金属,2.74,90.75,38.84,0,0,15,15,否
002716,湖南白银,贵金属,28.23,214.12,9.21,0,0,15,15,否
000975,山金国际,贵金属,27.77,686.96,27.18,0,0,15,15,否
600489,中金黄金,贵金属,48.47,1242.85,25.64,0,0,15,15,否
600547,山东黄金,贵金属,46.1,1672.4,46.27,0,0,15,15,否
600988,赤峰黄金,贵金属,19.0,529.29,31.81,0,0,15,15,否
001337,四川黄金,贵金属,4.2,88.61,30.72,0,0,15,15,否
