股票代码,股票名称,所属行业,总股本(亿股),流通市值(亿元),当前价格,股本匹配分,官方背书分,增持动向分,题材热度分,分红预期分,黄金行业分,总分,符合条件数,进入筛选池
000506,招金黄金,贵金属,9.29,132.04,14.22,30,0,0,0,0,15,45,3,是
601069,西部黄金,贵金属,9.11,264.74,29.84,25,0,0,0,0,15,40,2,是
002237,恒邦股份,贵金属,14.3,173.13,14.52,25,0,0,0,0,15,40,3,是
300139,晓程科技,贵金属,2.74,89.89,38.47,0,0,0,0,0,15,15,1,是
002716,湖南白银,贵金属,28.23,209.7,9.02,0,0,0,0,0,15,15,1,是
000975,山金国际,贵金属,27.77,681.65,26.97,0,0,0,0,0,15,15,1,是
600489,中金黄金,贵金属,48.47,1242.85,25.64,0,0,0,0,0,15,15,1,是
600547,山东黄金,贵金属,46.1,1672.4,46.27,0,0,0,0,0,15,15,1,是
001337,四川黄金,贵金属,4.2,88.61,30.72,0,0,0,0,0,15,15,1,是
600988,赤峰黄金,贵金属,19.0,529.29,31.81,0,0,0,0,0,15,15,1,是
